 ,Area,Mean,Min,Max
527,83,255,255,255
528,82,255,255,255
529,121,255,255,255
530,96,255,255,255
531,273,255,255,255
532,59,255,255,255
533,53,255,255,255
534,68,255,255,255
535,137,255,255,255
536,72,255,255,255
537,66,255,255,255
538,406,255,255,255
539,87,255,255,255
540,349,255,255,255
541,150,255,255,255
542,266,255,255,255
543,143,255,255,255
544,51,255,255,255
545,1019,255,255,255
546,234,255,255,255
547,77,255,255,255
548,228,255,255,255
549,445,255,255,255
550,94,255,255,255
551,194,255,255,255
552,72,255,255,255
553,59,255,255,255
554,109,255,255,255
555,55,255,255,255
556,86,255,255,255
557,183,255,255,255
558,96,255,255,255
559,91,255,255,255
560,73,255,255,255
561,553,255,255,255
562,81,255,255,255
563,51,255,255,255
564,789,255,255,255
565,231,255,255,255
566,61,255,255,255
567,94,255,255,255
568,57,255,255,255
569,95,255,255,255
570,56,255,255,255
571,128,255,255,255
572,64,255,255,255
573,58,255,255,255
574,76,255,255,255
575,78,255,255,255
576,63,255,255,255
577,74,255,255,255
578,54,255,255,255
579,128,255,255,255
580,388,255,255,255
581,249,255,255,255
582,61,255,255,255
583,50,255,255,255
584,77,255,255,255
585,129,255,255,255
586,142,255,255,255
587,70,255,255,255
588,129,255,255,255
589,78,255,255,255
590,148,255,255,255
591,91,255,255,255
592,1720,255,255,255
593,234,255,255,255
594,977,255,255,255
595,123,255,255,255
596,87,255,255,255
597,65,255,255,255
598,69,255,255,255
599,972,255,255,255
600,51,255,255,255
601,97,255,255,255
602,80,255,255,255
603,92,255,255,255
604,83,255,255,255
605,79,255,255,255
606,65,255,255,255
607,163,255,255,255
608,52,255,255,255
609,220,255,255,255
610,56,255,255,255
611,50,255,255,255
612,100,255,255,255
613,122,255,255,255
614,202,255,255,255
615,83,255,255,255
616,68,255,255,255
617,207,255,255,255
618,51,255,255,255
619,58,255,255,255
620,169,255,255,255
621,66,255,255,255
622,56,255,255,255
623,234,255,255,255
624,173,255,255,255
625,51,255,255,255
626,64,255,255,255
627,139,255,255,255
628,77,255,255,255
629,498,255,255,255
630,131,255,255,255
631,55,255,255,255
632,80,255,255,255
633,78,255,255,255
634,116,255,255,255
635,60,255,255,255
636,88,255,255,255
637,312,255,255,255
638,59,255,255,255
639,127,255,255,255
640,72,255,255,255
641,61,255,255,255
642,423,255,255,255
643,127,255,255,255
644,65,255,255,255
645,132,255,255,255
646,68,255,255,255
647,50,255,255,255
648,87,255,255,255
649,82,255,255,255
650,70,255,255,255
651,73,255,255,255
652,72,255,255,255
653,118,255,255,255
654,82,255,255,255
655,101,255,255,255
656,67,255,255,255
657,77,255,255,255
658,341,255,255,255
659,84,255,255,255
660,211,255,255,255
661,555,255,255,255
662,82,255,255,255
663,81,255,255,255
664,56,255,255,255
665,98,255,255,255
666,74,255,255,255
667,113,255,255,255
668,97,255,255,255
669,51,255,255,255
670,3717,255,255,255
671,162,255,255,255
672,132,255,255,255
673,143,255,255,255
674,63,255,255,255
675,87,255,255,255
676,63,255,255,255
677,120,255,255,255
678,142,255,255,255
679,91,255,255,255
680,73,255,255,255
681,59,255,255,255
682,144,255,255,255
683,353,255,255,255
684,148,255,255,255
685,81,255,255,255
686,79,255,255,255
687,75,255,255,255
688,186,255,255,255
689,2299,255,255,255
690,72,255,255,255
691,285,255,255,255
692,122,255,255,255
693,78,255,255,255
694,50,255,255,255
695,52,255,255,255
696,52,255,255,255
697,86,255,255,255
698,54,255,255,255
699,245,255,255,255
700,53,255,255,255
701,587,255,255,255
702,56,255,255,255
703,100,255,255,255
704,146,255,255,255
705,71,255,255,255
706,74,255,255,255
707,108,255,255,255
708,159,255,255,255
709,84,255,255,255
710,52,255,255,255
711,81,255,255,255
712,95,255,255,255
713,93,255,255,255
714,67,255,255,255
715,50,255,255,255
716,78,255,255,255
717,119,255,255,255
718,74,255,255,255
719,72,255,255,255
720,57,255,255,255
721,62,255,255,255
722,170,255,255,255
723,99,255,255,255
724,120,255,255,255
725,210,255,255,255
726,72,255,255,255
727,50,255,255,255
728,186,255,255,255
729,64,255,255,255
730,316,255,255,255
731,59,255,255,255
732,58,255,255,255
733,2313,255,255,255
734,114,255,255,255
735,82,255,255,255
736,69,255,255,255
737,1567,255,255,255
738,82,255,255,255
739,73,255,255,255
740,71,255,255,255
741,84,255,255,255
742,67,255,255,255
743,78,255,255,255
744,121,255,255,255
745,94,255,255,255
746,204,255,255,255
747,73,255,255,255
748,64,255,255,255
749,108,255,255,255
750,51,255,255,255
751,92,255,255,255
752,88,255,255,255
753,84,255,255,255
754,66,255,255,255
755,170,255,255,255
756,134,255,255,255
757,77,255,255,255
758,147,255,255,255
759,97,255,255,255
760,325,255,255,255
761,455,255,255,255
762,113,255,255,255
763,56,255,255,255
764,96,255,255,255
765,54,255,255,255
766,188,255,255,255
767,79,255,255,255
768,71,255,255,255
769,67,255,255,255
770,87,255,255,255
771,120,255,255,255
772,100,255,255,255
773,69,255,255,255
774,65,255,255,255
775,52,255,255,255
776,66,255,255,255
777,79,255,255,255
778,111,255,255,255
779,119,255,255,255
780,98,255,255,255
781,54,255,255,255
782,85,255,255,255
783,68,255,255,255
784,625,255,255,255
785,51,255,255,255
786,51,255,255,255
787,295,255,255,255
788,157,255,255,255
789,76,255,255,255
790,90,255,255,255
791,388,255,255,255
792,72,255,255,255
793,207,255,255,255
794,57,255,255,255
795,926,255,255,255
796,122,255,255,255
797,50,255,255,255
798,84,255,255,255
799,104,255,255,255
800,57,255,255,255
801,238,255,255,255
802,53,255,255,255
803,1115,255,255,255
804,62,255,255,255
805,488,255,255,255
806,82,255,255,255
807,81,255,255,255
808,216,255,255,255
809,87,255,255,255
810,98,255,255,255
811,74,255,255,255
812,76,255,255,255
813,138,255,255,255
814,71,255,255,255
815,82,255,255,255
816,212,255,255,255
817,78,255,255,255
818,66,255,255,255
819,60,255,255,255
820,84,255,255,255
821,1803,255,255,255
822,458,255,255,255
823,548,255,255,255
824,275,255,255,255
825,52,255,255,255
826,94,255,255,255
827,136,255,255,255
828,81,255,255,255
829,210,255,255,255
830,77,255,255,255
831,57,255,255,255
832,65,255,255,255
833,92,255,255,255
834,68,255,255,255
835,75,255,255,255
836,72,255,255,255
837,51,255,255,255
838,147,255,255,255
839,51,255,255,255
840,65,255,255,255
841,51,255,255,255
842,98,255,255,255
843,54,255,255,255
844,143,255,255,255
845,178,255,255,255
846,50,255,255,255
847,62,255,255,255
848,89,255,255,255
849,59,255,255,255
850,361,255,255,255
851,178,255,255,255
852,106,255,255,255
853,120,255,255,255
854,113,255,255,255
855,59,255,255,255
856,88,255,255,255
857,81,255,255,255
858,157,255,255,255
859,72,255,255,255
860,50,255,255,255
861,2284,255,255,255
862,177,255,255,255
863,101,255,255,255
864,71,255,255,255
865,499,255,255,255
866,91,255,255,255
867,123,255,255,255
868,154,255,255,255
869,254,255,255,255
870,315,255,255,255
871,61,255,255,255
872,54,255,255,255
873,170,255,255,255
874,113,255,255,255
875,52,255,255,255
876,99,255,255,255
877,68,255,255,255
878,95,255,255,255
879,129,255,255,255
880,604,255,255,255
881,60,255,255,255
882,154,255,255,255
883,54,255,255,255
884,275,255,255,255
885,146,255,255,255
886,127,255,255,255
887,133,255,255,255
888,57,255,255,255
889,80,255,255,255
890,71,255,255,255
891,249,255,255,255
892,55,255,255,255
893,63,255,255,255
894,56,255,255,255
895,203,255,255,255
896,256,255,255,255
897,73,255,255,255
898,61,255,255,255
899,123,255,255,255
900,77,255,255,255
901,79,255,255,255
902,52,255,255,255
903,265,255,255,255
904,107,255,255,255
905,52,255,255,255
906,69,255,255,255
907,129,255,255,255
908,121,255,255,255
909,75,255,255,255
910,199,255,255,255
911,113,255,255,255
912,81,255,255,255
913,84,255,255,255
914,78,255,255,255
915,173,255,255,255
916,91,255,255,255
917,79,255,255,255
918,163,255,255,255
919,672,255,255,255
920,77,255,255,255
921,88,255,255,255
922,84,255,255,255
923,178,255,255,255
924,167,255,255,255
925,155,255,255,255
926,996,255,255,255
927,460,255,255,255
928,51,255,255,255
929,61,255,255,255
930,181,255,255,255
931,564,255,255,255
932,51,255,255,255
933,79,255,255,255
934,72,255,255,255
935,276,255,255,255
936,64,255,255,255
937,70,255,255,255
938,72,255,255,255
939,839,255,255,255
940,53,255,255,255
941,98,255,255,255
942,169,255,255,255
943,182,255,255,255
944,51,255,255,255
945,63,255,255,255
946,1198,255,255,255
947,68,255,255,255
948,127,255,255,255
949,60,255,255,255
950,71,255,255,255
951,74,255,255,255
952,307,255,255,255
953,92,255,255,255
954,51,255,255,255
955,140,255,255,255
956,80,255,255,255
957,53,255,255,255
958,66,255,255,255
959,104,255,255,255
960,64,255,255,255
961,74,255,255,255
962,141,255,255,255
963,51,255,255,255
964,91,255,255,255
965,76,255,255,255
966,136,255,255,255
967,61,255,255,255
968,70,255,255,255
969,54,255,255,255
970,66,255,255,255
971,51,255,255,255
972,50,255,255,255
973,73,255,255,255
974,103,255,255,255
975,63,255,255,255
976,424,255,255,255
977,150,255,255,255
978,101,255,255,255
979,86,255,255,255
980,112,255,255,255
981,100,255,255,255
982,91,255,255,255
983,99,255,255,255
984,89,255,255,255
985,53,255,255,255
986,74,255,255,255
987,221,255,255,255
988,862,255,255,255
989,1227,255,255,255
990,52,255,255,255
991,145,255,255,255
992,67,255,255,255
993,324,255,255,255
994,109,255,255,255
995,116,255,255,255
996,73,255,255,255
997,99,255,255,255
998,74,255,255,255
999,342,255,255,255
1000,98,255,255,255
1001,217,255,255,255
1002,207,255,255,255
1003,109,255,255,255
1004,297,255,255,255
1005,51,255,255,255
1006,81,255,255,255
1007,120,255,255,255
1008,516,255,255,255
1009,86,255,255,255
1010,73,255,255,255
1011,75,255,255,255
1012,340,255,255,255
1013,134,255,255,255
1014,57,255,255,255
1015,194,255,255,255
1016,66,255,255,255
1017,73,255,255,255
1018,60,255,255,255
1019,210,255,255,255
1020,121,255,255,255
1021,58,255,255,255
1022,365,255,255,255
1023,71,255,255,255
1024,64,255,255,255
1025,72,255,255,255
1026,73,255,255,255
1027,50,255,255,255
1028,78,255,255,255
1029,57,255,255,255
1030,57,255,255,255
1031,51,255,255,255
1032,78,255,255,255
1033,66,255,255,255
1034,93,255,255,255
1035,54,255,255,255
1036,99,255,255,255
1037,685,255,255,255
1038,390,255,255,255
1039,75,255,255,255
1040,96,255,255,255
1041,88,255,255,255
1042,84,255,255,255
1043,84,255,255,255
1044,804,255,255,255
1045,84,255,255,255
1046,252,255,255,255
1047,72,255,255,255
1048,95,255,255,255
1049,554,255,255,255
1050,170,255,255,255
1051,73,255,255,255
1052,64,255,255,255
1053,55,255,255,255
1054,103,255,255,255
1055,131,255,255,255
1056,237,255,255,255
1057,54,255,255,255
1058,113,255,255,255
1059,83,255,255,255
1060,138,255,255,255
1061,85,255,255,255
1062,133,255,255,255
1063,769,255,255,255
1064,84,255,255,255
1065,107,255,255,255
1066,76,255,255,255
1067,70,255,255,255
1068,983,255,255,255
1069,60,255,255,255
1070,53,255,255,255
1071,86,255,255,255
1072,85,255,255,255
1073,90,255,255,255
1074,54,255,255,255
1075,87,255,255,255
1076,51,255,255,255
1077,78,255,255,255
1078,79,255,255,255
1079,51,255,255,255
1080,79,255,255,255
1081,101,255,255,255
1082,70,255,255,255
1083,77,255,255,255
1084,134,255,255,255
1085,50,255,255,255
1086,398,255,255,255
1087,68,255,255,255
1088,117,255,255,255
1089,85,255,255,255
1090,54,255,255,255
1091,221,255,255,255
1092,58,255,255,255
1093,66,255,255,255
1094,73,255,255,255
1095,164,255,255,255
1096,88,255,255,255
1097,73,255,255,255
1098,118,255,255,255
1099,52,255,255,255
1100,123,255,255,255
1101,727,255,255,255
1102,187,255,255,255
1103,873,255,255,255
1104,124,255,255,255
1105,54,255,255,255
1106,72,255,255,255
1107,336,255,255,255
1108,63,255,255,255
1109,50,255,255,255
1110,169,255,255,255
1111,70,255,255,255
1112,56,255,255,255
1113,406,255,255,255
1114,58,255,255,255
1115,98,255,255,255
1116,84,255,255,255
1117,71,255,255,255
1118,125,255,255,255
1119,90,255,255,255
1120,88,255,255,255
1121,52,255,255,255
1122,118,255,255,255
1123,61,255,255,255
1124,73,255,255,255
1125,66,255,255,255
1126,176,255,255,255
1127,70,255,255,255
1128,87,255,255,255
1129,196,255,255,255
1130,184,255,255,255
1131,375,255,255,255
1132,461,255,255,255
1133,127,255,255,255
1134,132,255,255,255
1135,50,255,255,255
1136,94,255,255,255
1137,76,255,255,255
1138,70,255,255,255
1139,118,255,255,255
1140,82,255,255,255
1141,130,255,255,255
1142,61,255,255,255
1143,159,255,255,255
1144,141,255,255,255
1145,74,255,255,255
1146,904,255,255,255
1147,52,255,255,255
1148,50,255,255,255
1149,119,255,255,255
1150,97,255,255,255
1151,327,255,255,255
1152,404,255,255,255
1153,104,255,255,255
1154,55,255,255,255
1155,56,255,255,255
1156,70,255,255,255
1157,68,255,255,255
1158,90,255,255,255
1159,689,255,255,255
1160,139,255,255,255
1161,90,255,255,255
1162,121,255,255,255
1163,464,255,255,255
1164,173,255,255,255
1165,81,255,255,255
1166,72,255,255,255
1167,69,255,255,255
1168,74,255,255,255
1169,101,255,255,255
1170,162,255,255,255
1171,94,255,255,255
1172,91,255,255,255
1173,87,255,255,255
1174,79,255,255,255
1175,150,255,255,255
1176,95,255,255,255
1177,394,255,255,255
1178,84,255,255,255
1179,516,255,255,255
1180,107,255,255,255
1181,668,255,255,255
1182,125,255,255,255
1183,125,255,255,255
1184,54,255,255,255
1185,78,255,255,255
1186,103,255,255,255
1187,98,255,255,255
1188,53,255,255,255
1189,134,255,255,255
1190,88,255,255,255
1191,74,255,255,255
1192,52,255,255,255
1193,56,255,255,255
1194,80,255,255,255
1195,85,255,255,255
1196,53,255,255,255
1197,58,255,255,255
1198,73,255,255,255
1199,64,255,255,255
1200,256,255,255,255
1201,218,255,255,255
1202,66,255,255,255
1203,84,255,255,255
1204,52,255,255,255
1205,52,255,255,255
1206,83,255,255,255
1207,130,255,255,255
1208,299,255,255,255
1209,64,255,255,255
1210,118,255,255,255
1211,606,255,255,255
1212,70,255,255,255
1213,164,255,255,255
1214,111,255,255,255
1215,79,255,255,255
1216,71,255,255,255
1217,424,255,255,255
1218,244,255,255,255
1219,135,255,255,255
1220,80,255,255,255
1221,271,255,255,255
1222,69,255,255,255
1223,92,255,255,255
1224,238,255,255,255
1225,57,255,255,255
1226,54,255,255,255
1227,78,255,255,255
1228,55,255,255,255
1229,144,255,255,255
1230,66,255,255,255
1231,54,255,255,255
1232,102,255,255,255
1233,97,255,255,255
1234,54,255,255,255
1235,94,255,255,255
1236,51,255,255,255
1237,111,255,255,255
1238,52,255,255,255
1239,82,255,255,255
1240,51,255,255,255
1241,72,255,255,255
1242,59,255,255,255
1243,65,255,255,255
1244,112,255,255,255
1245,60,255,255,255
1246,84,255,255,255
1247,58,255,255,255
1248,108,255,255,255
1249,239,255,255,255
1250,119,255,255,255
1251,72,255,255,255
1252,93,255,255,255
1253,81,255,255,255
1254,83,255,255,255
1255,61,255,255,255
1256,125,255,255,255
1257,232,255,255,255
1258,66,255,255,255
1259,84,255,255,255
1260,51,255,255,255
1261,77,255,255,255
1262,71,255,255,255
1263,73,255,255,255
1264,77,255,255,255
1265,165,255,255,255
1266,59,255,255,255
1267,99,255,255,255
1268,245,255,255,255
1269,70,255,255,255
1270,78,255,255,255
1271,51,255,255,255
1272,53,255,255,255
1273,83,255,255,255
1274,195,255,255,255
1275,279,255,255,255
1276,52,255,255,255
1277,127,255,255,255
1278,83,255,255,255
1279,231,255,255,255
1280,55,255,255,255
1281,186,255,255,255
1282,52,255,255,255
1283,139,255,255,255
1284,226,255,255,255
1285,136,255,255,255
1286,55,255,255,255
1287,374,255,255,255
1288,90,255,255,255
1289,55,255,255,255
1290,51,255,255,255
1291,86,255,255,255
1292,118,255,255,255
1293,59,255,255,255
1294,136,255,255,255
1295,51,255,255,255
1296,80,255,255,255
1297,104,255,255,255
1298,65,255,255,255
1299,54,255,255,255
1300,234,255,255,255
1301,75,255,255,255
1302,89,255,255,255
1303,55,255,255,255
1304,239,255,255,255
1305,161,255,255,255
1306,57,255,255,255
1307,57,255,255,255
1308,63,255,255,255
1309,51,255,255,255
1310,213,255,255,255
1311,123,255,255,255
1312,51,255,255,255
1313,50,255,255,255
1314,751,255,255,255
1315,188,255,255,255
1316,150,255,255,255
1317,196,255,255,255
1318,92,255,255,255
1319,80,255,255,255
1320,90,255,255,255
1321,53,255,255,255
1322,69,255,255,255
1323,80,255,255,255
1324,97,255,255,255
1325,95,255,255,255
1326,80,255,255,255
1327,68,255,255,255
1328,125,255,255,255
1329,62,255,255,255
1330,51,255,255,255
1331,69,255,255,255
1332,55,255,255,255
1333,83,255,255,255
1334,58,255,255,255
1335,74,255,255,255
1336,51,255,255,255
1337,53,255,255,255
1338,50,255,255,255
1339,75,255,255,255
1340,70,255,255,255
1341,94,255,255,255
1342,84,255,255,255
