 ,Area,Mean,Min,Max
251,3171,255,255,255
252,4271,255,255,255
253,256,255,255,255
254,352,255,255,255
255,290,255,255,255
256,992,255,255,255
257,593,255,255,255
258,333,255,255,255
259,299,255,255,255
260,332,255,255,255
261,262,255,255,255
262,558,255,255,255
263,1015,255,255,255
264,531,255,255,255
265,255,255,255,255
266,412,255,255,255
267,1723,255,255,255
268,328,255,255,255
269,267,255,255,255
270,8020,255,255,255
271,531,255,255,255
272,554,255,255,255
273,643,255,255,255
274,292,255,255,255
275,901,255,255,255
276,2987,255,255,255
277,411,255,255,255
278,5152,255,255,255
279,281,255,255,255
280,307,255,255,255
281,351,255,255,255
282,722,255,255,255
283,262,255,255,255
284,371,255,255,255
285,501,255,255,255
286,939,255,255,255
287,752,255,255,255
288,305,255,255,255
289,361,255,255,255
290,306,255,255,255
291,264,255,255,255
292,1806,255,255,255
293,455,255,255,255
294,786,255,255,255
295,408,255,255,255
296,295,255,255,255
297,381,255,255,255
298,286,255,255,255
299,6439,255,255,255
300,809,255,255,255
301,317,255,255,255
302,749,255,255,255
303,288,255,255,255
304,300,255,255,255
305,589,255,255,255
306,1272,255,255,255
307,327,255,255,255
308,1205,255,255,255
309,310,255,255,255
310,2277,255,255,255
311,276,255,255,255
312,482,255,255,255
313,6390,255,255,255
314,299,255,255,255
315,711,255,255,255
316,394,255,255,255
317,1016,255,255,255
318,272,255,255,255
319,297,255,255,255
320,1820,255,255,255
321,589,255,255,255
322,1576,255,255,255
323,562,255,255,255
324,597,255,255,255
325,312,255,255,255
326,1668,255,255,255
327,341,255,255,255
328,411,255,255,255
329,343,255,255,255
330,315,255,255,255
331,291,255,255,255
332,4050,255,255,255
333,783,255,255,255
334,2471,255,255,255
335,3713,255,255,255
336,326,255,255,255
337,279,255,255,255
338,644,255,255,255
339,553,255,255,255
340,443,255,255,255
341,312,255,255,255
342,1097,255,255,255
343,4716,255,255,255
344,830,255,255,255
345,6075,255,255,255
346,532,255,255,255
347,478,255,255,255
348,1545,255,255,255
349,519,255,255,255
350,1834,255,255,255
351,1186,255,255,255
352,364,255,255,255
353,362,255,255,255
354,273,255,255,255
355,307,255,255,255
356,1153,255,255,255
357,1079,255,255,255
358,1198,255,255,255
359,1413,255,255,255
360,1023,255,255,255
361,1901,255,255,255
362,1691,255,255,255
363,5303,255,255,255
364,2801,255,255,255
365,336,255,255,255
366,447,255,255,255
367,314,255,255,255
368,261,255,255,255
369,1955,255,255,255
370,3473,255,255,255
371,459,255,255,255
372,805,255,255,255
373,6258,255,255,255
374,655,255,255,255
375,308,255,255,255
376,527,255,255,255
377,4860,255,255,255
378,1896,255,255,255
379,302,255,255,255
380,473,255,255,255
381,379,255,255,255
382,267,255,255,255
383,3645,255,255,255
384,1389,255,255,255
385,766,255,255,255
386,1445,255,255,255
387,1593,255,255,255
388,338,255,255,255
389,2773,255,255,255
390,3706,255,255,255
391,914,255,255,255
392,255,255,255,255
393,1462,255,255,255
394,279,255,255,255
395,272,255,255,255
396,287,255,255,255
397,1239,255,255,255
398,355,255,255,255
399,2171,255,255,255
400,357,255,255,255
401,8284,255,255,255
402,1402,255,255,255
403,4532,255,255,255
404,304,255,255,255
405,602,255,255,255
406,2991,255,255,255
407,330,255,255,255
408,2234,255,255,255
409,275,255,255,255
410,273,255,255,255
411,862,255,255,255
412,1344,255,255,255
413,4303,255,255,255
414,255,255,255,255
415,971,255,255,255
416,414,255,255,255
417,1183,255,255,255
418,1903,255,255,255
419,5731,255,255,255
420,3030,255,255,255
421,358,255,255,255
422,498,255,255,255
423,350,255,255,255
424,284,255,255,255
425,1698,255,255,255
426,5458,255,255,255
427,6992,255,255,255
428,293,255,255,255
429,3467,255,255,255
430,2481,255,255,255
431,258,255,255,255
432,1377,255,255,255
433,2002,255,255,255
434,1251,255,255,255
435,624,255,255,255
436,7318,255,255,255
437,1890,255,255,255
438,1206,255,255,255
439,1378,255,255,255
440,1636,255,255,255
441,5724,255,255,255
442,284,255,255,255
443,443,255,255,255
444,337,255,255,255
445,259,255,255,255
446,1629,255,255,255
447,1724,255,255,255
448,9846,255,255,255
449,2843,255,255,255
450,1401,255,255,255
451,296,255,255,255
452,2705,255,255,255
453,4592,255,255,255
454,585,255,255,255
455,495,255,255,255
456,357,255,255,255
457,535,255,255,255
458,12185,255,255,255
459,1645,255,255,255
460,1554,255,255,255
461,1680,255,255,255
462,2485,255,255,255
463,264,255,255,255
464,358,255,255,255
465,399,255,255,255
466,1699,255,255,255
467,5149,255,255,255
468,6957,255,255,255
469,261,255,255,255
470,3657,255,255,255
471,3388,255,255,255
472,3869,255,255,255
473,548,255,255,255
474,1014,255,255,255
475,496,255,255,255
476,1173,255,255,255
477,483,255,255,255
478,13524,255,255,255
479,1669,255,255,255
480,1797,255,255,255
481,2210,255,255,255
482,1361,255,255,255
483,984,255,255,255
484,296,255,255,255
485,1772,255,255,255
486,5366,255,255,255
487,6965,255,255,255
488,1364,255,255,255
489,5587,255,255,255
490,3321,255,255,255
491,1361,255,255,255
492,1680,255,255,255
493,642,255,255,255
494,3762,255,255,255
495,282,255,255,255
496,1264,255,255,255
497,388,255,255,255
498,1478,255,255,255
499,261,255,255,255
500,2100,255,255,255
501,1411,255,255,255
502,3805,255,255,255
503,6526,255,255,255
504,260,255,255,255
505,430,255,255,255
506,1717,255,255,255
507,2948,255,255,255
508,10342,255,255,255
509,4723,255,255,255
510,5061,255,255,255
511,1537,255,255,255
512,1906,255,255,255
513,6305,255,255,255
514,1737,255,255,255
515,2974,255,255,255
516,1863,255,255,255
517,276,255,255,255
518,6548,255,255,255
519,1139,255,255,255
520,484,255,255,255
521,5469,255,255,255
522,2736,255,255,255
523,9686,255,255,255
524,775,255,255,255
525,5264,255,255,255
526,267,255,255,255
527,315,255,255,255
528,1335,255,255,255
529,2051,255,255,255
530,10375,255,255,255
531,1906,255,255,255
532,1932,255,255,255
533,6927,255,255,255
534,402,255,255,255
535,346,255,255,255
536,1590,255,255,255
537,5767,255,255,255
538,5657,255,255,255
539,361,255,255,255
540,1105,255,255,255
541,1428,255,255,255
542,3692,255,255,255
543,6925,255,255,255
544,2073,255,255,255
545,3536,255,255,255
546,1483,255,255,255
547,7144,255,255,255
548,2195,255,255,255
549,7292,255,255,255
550,271,255,255,255
551,394,255,255,255
552,1670,255,255,255
553,5554,255,255,255
554,10917,255,255,255
555,277,255,255,255
556,384,255,255,255
557,1254,255,255,255
558,5747,255,255,255
559,386,255,255,255
560,1295,255,255,255
561,1768,255,255,255
562,357,255,255,255
563,290,255,255,255
564,6564,255,255,255
565,1958,255,255,255
566,4418,255,255,255
567,2017,255,255,255
568,7152,255,255,255
569,351,255,255,255
570,7439,255,255,255
571,7647,255,255,255
572,349,255,255,255
573,3415,255,255,255
