Slice,Count,Total Area,Average Size,%Area,Mean
238,7,45237,6462.429,7.068,255
239,7,44809,6401.286,7.001,255
240,6,44646,7441.000,6.976,255
241,7,43824,6260.571,6.848,255
242,9,46232,5136.889,7.224,255
243,10,45738,4573.800,7.147,255
244,9,45184,5020.444,7.060,255
245,6,45526,7587.667,7.113,255
246,6,45774,7629.000,7.152,255
247,10,45772,4577.200,7.152,255
248,6,45832,7638.667,7.161,255
249,8,45596,5699.500,7.124,255
250,9,46716,5190.667,7.299,255
251,8,46127,5765.875,7.207,255
252,7,45185,6455.000,7.060,255
253,7,45308,6472.571,7.079,255
254,7,45792,6541.714,7.155,255
255,6,45982,7663.667,7.185,255
256,5,46128,9225.600,7.207,255
257,8,45336,5667.000,7.084,255
258,8,44947,5618.375,7.023,255
259,7,45336,6476.571,7.084,255
260,7,44196,6313.714,6.906,255
261,6,45203,7533.833,7.063,255
262,6,45189,7531.500,7.061,255
263,6,45844,7640.667,7.163,255
264,6,45163,7527.167,7.057,255
265,6,45641,7606.833,7.131,255
266,7,45434,6490.571,7.099,255
267,9,45484,5053.778,7.107,255
268,5,44734,8946.800,6.990,255
269,6,43975,7329.167,6.871,255
270,7,44087,6298.143,6.889,255
271,8,45343,5667.875,7.085,255
272,6,45058,7509.667,7.040,255
273,5,45674,9134.800,7.137,255
274,7,44512,6358.857,6.955,255
275,8,44420,5552.500,6.941,255
276,7,45155,6450.714,7.055,255
277,7,44460,6351.429,6.947,255
278,9,44770,4974.444,6.995,255
279,8,45588,5698.500,7.123,255
280,8,45004,5625.500,7.032,255
281,7,44484,6354.857,6.951,255
282,6,46655,7775.833,7.290,255
283,6,43865,7310.833,6.854,255
284,8,46857,5857.125,7.321,255
285,6,45821,7636.833,7.160,255
286,5,45416,9083.200,7.096,255
287,8,45558,5694.750,7.118,255
288,10,44370,4437.000,6.933,255
289,6,44211,7368.500,6.908,255
290,7,45271,6467.286,7.074,255
291,7,46281,6611.571,7.231,255
292,7,46312,6616.000,7.236,255
293,7,45710,6530.000,7.142,255
294,6,45287,7547.833,7.076,255
295,7,45740,6534.286,7.147,255
296,7,45388,6484.000,7.092,255
297,5,45750,9150.000,7.148,255
298,7,46026,6575.143,7.192,255
299,7,46008,6572.571,7.189,255
300,7,45735,6533.571,7.146,255
301,6,46129,7688.167,7.208,255
302,6,46644,7774.000,7.288,255
303,6,46495,7749.167,7.265,255
304,7,45746,6535.143,7.148,255
305,6,45678,7613.000,7.137,255
306,7,44529,6361.286,6.958,255
307,5,44710,8942.000,6.986,255
308,6,45194,7532.333,7.062,255
309,6,45688,7614.667,7.139,255
310,5,44648,8929.600,6.976,255
311,6,45796,7632.667,7.156,255
312,7,46007,6572.429,7.189,255
313,8,45746,5718.250,7.148,255
314,8,45738,5717.250,7.147,255
315,5,45352,9070.400,7.086,255
316,6,45597,7599.500,7.125,255
317,8,46148,5768.500,7.211,255
318,6,44815,7469.167,7.002,255
319,7,45060,6437.143,7.041,255
320,6,45504,7584.000,7.110,255
321,6,45511,7585.167,7.111,255
322,8,45396,5674.500,7.093,255
323,7,45410,6487.143,7.095,255
324,5,44890,8978.000,7.014,255
325,7,44946,6420.857,7.023,255
326,7,46153,6593.286,7.211,255
327,7,45539,6505.571,7.115,255
328,6,46333,7722.167,7.240,255
329,9,46509,5167.667,7.267,255
330,8,45959,5744.875,7.181,255
331,7,46898,6699.714,7.328,255
332,6,46595,7765.833,7.280,255
333,7,46158,6594.000,7.212,255
334,6,47387,7897.833,7.404,255
335,7,47830,6832.857,7.473,255
336,7,46739,6677.000,7.303,255
337,8,46513,5814.125,7.268,255
338,6,46684,7780.667,7.294,255
339,5,46110,9222.000,7.205,255
340,6,46020,7670.000,7.191,255
341,5,44971,8994.200,7.027,255
342,4,45148,11287.000,7.054,255
343,4,45444,11361.000,7.101,255
344,4,45650,11412.500,7.133,255
345,7,46654,6664.857,7.290,255
346,4,45160,11290.000,7.056,255
347,6,45501,7583.500,7.110,255
348,6,46175,7695.833,7.215,255
349,5,47348,9469.600,7.398,255
350,5,47353,9470.600,7.399,255
351,5,47234,9446.800,7.380,255
352,6,46887,7814.500,7.326,255
353,4,45683,11420.750,7.138,255
354,6,45224,7537.333,7.066,255
355,8,47001,5875.125,7.344,255
356,7,47063,6723.286,7.354,255
357,9,47477,5275.222,7.418,255
